Id,SalePrice,LogSalePrice,fold
1,208500,12.24769911637256,2
2,181500,12.109016442313738,4
3,223500,12.317171167298682,2
4,140000,11.849404844423074,1
5,250000,12.429220196836384,3
6,143000,11.870606902224589,1
7,307000,12.63460628389302,2
8,200000,12.206077645517674,2
9,129900,11.774527900858468,4
10,118000,11.678448377988165,2
11,129500,11.771443882099636,1
12,345000,12.75130259456002,3
13,144000,11.87757552297847,1
14,279500,12.54076114938842,4
15,157000,11.964007453736912,4
16,132000,11.790564777297387,0
17,149000,11.91170829631447,3
18,90000,11.407576060361786,3
19,159000,11.976665770490769,3
20,139000,11.842236406331557,3
21,325300,12.692506186542175,4
22,139400,11.84510995088398,4
23,230000,12.345838935721968,3
24,129900,11.774527900858468,0
25,154000,11.944714374881176,3
26,256300,12.454107814022272,2
27,134800,11.811554895830454,4
28,306000,12.631343648903034,2
29,207500,12.242891437918386,3
30,68500,11.134603622683905,0
31,40000,10.59665973278358,0
32,149350,11.914054519303123,1
33,179900,12.100161978566868,0
34,165500,12.016732516077072,2
35,277500,12.533579815765735,4
36,309000,12.6410997921206,3
37,145000,11.884495917930655,3
38,153000,11.938199736300923,4
39,109000,11.599112335481124,3
40,82000,11.31448672129398,1
41,160000,11.982935344196433,4
42,170000,12.04355959836804,3
43,144000,11.87757552297847,2
44,130250,11.777218637129328,0
45,141000,11.856522261533735,0
46,319900,12.675766851909591,2
47,239686,12.387089184491993,3
48,249700,12.428019481065611,2
49,113000,11.635151947212842,1
50,127000,11.751950239425476,0
51,177000,12.08391066125752,3
52,114500,11.648338835562749,0
53,110000,11.60824473564232,2
54,385000,12.861001210669146,4
55,130000,11.775297421715829,1
56,180500,12.103491596905933,2
57,172500,12.058158312538197,0
58,196500,12.188422799337028,2
59,438780,12.9917557065369,0
60,124900,11.73527670248674,0
61,158000,11.970356641103,2
62,101000,11.52288569676448,3
63,202500,12.218500103788145,2
64,140000,11.849404844423074,0
65,219500,12.299112067295642,4
66,317000,12.666660207428574,0
67,180000,12.100717685412471,2
68,226000,12.328294703023394,0
69,80000,11.289794413577894,3
70,225000,12.323860125621126,3
71,244000,12.404927602627597,0
72,129500,11.771443882099636,2
73,185000,12.128116509451258,2
74,144900,11.88380602959621,3
75,107400,11.58432477200052,3
76,91000,11.418625774449598,3
77,135750,11.818577604251557,0
78,127000,11.751950239425476,2
79,136500,11.824087219587645,0
80,110000,11.60824473564232,2
81,193500,12.173037959397275,2
82,153500,11.941462360646147,0
83,245000,12.409017571151187,2
84,126500,11.748005492256809,1
85,168500,12.034696963475044,2
86,260000,12.468440756144114,2
87,174000,12.066816325306588,1
88,164500,12.010671928196444,4
89,85000,11.350418300109132,1
90,123600,11.724813914587886,3
91,109900,11.60733523953139,2
92,98600,11.498836682527129,4
93,163500,12.004574385508691,2
94,133900,11.804855999911272,3
95,204750,12.229549885708272,2
