feature,transformation,train_skew_before,train_skew_after,test_skew_before,test_skew_after,train_mean_before,train_mean_after,test_mean_before,test_mean_after
MiscVal,log1p in-place,24.46008498094565,5.166779459655523,20.075188353860344,5.262633390679069,43.54869684499314,0.2337761771448004,58.16792323509253,0.23607820535504678
PoolArea,log1p in-place,15.948945313085376,15.517685432979174,20.196887591116827,15.720913674047146,2.4334705075445817,0.026236931313550902,1.7443454420836189,0.024288340965828395
LotArea,log1p in-place,12.573925391549514,-0.18127758596851626,3.115216613500925,-0.9155979096205403,10459.936899862825,9.108605582444877,9819.161069225496,9.07885354463139
3SsnPorch,log1p in-place,10.297106387622124,7.72942258150401,12.524215926005567,10.543858622404805,3.4142661179698215,0.08579605867776466,1.794379712131597,0.046702454611942903
LowQualFinSF,log1p in-place,9.00495502120769,7.454942569529665,16.167254030990343,10.318601997446763,5.852537722908093,0.0999508953884197,3.5435229609321452,0.054371284461392846
BsmtFinSF2,log1p in-place,4.251925297420032,2.521222107829709,4.0429539042374705,2.4085684003924284,46.61316872427984,0.6562970796473983,52.583276216586704,0.7065665307167329
ScreenPorch,log1p in-place,4.11892872884064,3.1476391754315483,3.7882443811743776,2.7717848105645366,15.08161865569273,0.41123482073712786,17.064427690198766,0.4917840603146576
EnclosedPorch,log1p in-place,3.087163933908421,2.109966853754203,4.669172309715744,1.8279296142900363,21.984224965706446,0.6989761983537903,24.24331734064428,0.816892978450839
MasVnrArea,log1p in-place,2.6963290014326167,0.5063121802395222,2.549568580084032,0.5720665767657489,102.18998628257887,2.114037815024066,99.6737491432488,2.0381852975328365
OpenPorchSF,log1p in-place,2.3398286632283742,-0.022889779639066056,2.6877788503224047,-0.06033691615088133,46.24554183813443,2.3036904187165623,48.3139136394791,2.357488632341283
TotalPorchSF,log1p in-place,2.011470860262991,-0.511890640902574,2.4392154004375426,-0.6326211970412309,86.72565157750343,3.108107736782906,91.41603838245373,3.2469884031097416
OutdoorSF,log1p in-place,1.5898439272714615,-1.3037650607550948,2.163898375166311,-1.4008791129733265,183.2434842249657,4.250572245690852,186.3351610692255,4.328722891750872
LotFrontage,log1p in-place,1.5482171880711468,-0.9994845644919594,0.6228187235467872,-1.1288057706513979,69.98662551440329,4.215211212137296,68.91912268677176,4.197298956721334
WoodDeckSF,log1p in-place,1.5458051688700118,0.15651374613073185,2.130759950574929,0.16285099558096133,94.0843621399177,2.4532294173174365,93.17477724468814,2.442117228724737
OverallQual_x_GrLivArea,log1p in-place,1.4938266035119308,-0.3590551239769858,1.5342557257287683,-0.36726199390822634,9616.458161865568,9.04622866813923,9422.856065798493,9.028435957216368
KitchenQual_Ord_x_GrLivArea,log1p in-place,1.395660474729156,-0.024967067894978722,1.5989061268961942,0.11186133566880826,5440.474622770919,8.503974498009189,5357.8732008224815,8.492134554112944
OverallQual_x_TotalSF,log1p in-place,1.3930508341650005,-0.5916966222825001,1.8084632951493926,-0.6196084405155898,16304.349794238684,9.580731635222588,16117.86017820425,9.562250443473523
ExterQual_Ord_x_GrLivArea,log1p in-place,1.3633202166338398,0.05226081605623067,1.5086937526092106,0.16107389806231648,5249.683127572016,8.47477760767745,5173.133653187115,8.462821609783026
BsmtQual_Ord_x_TotalBsmtSF,log1p in-place,1.1983470077213034,-4.981492505354687,1.6300375783010683,-4.5354667875247,3879.8916323731137,7.97222882567934,3868.4962302947224,7.91804757094226
GrLivArea,log1p in-place,1.0109917025385513,-0.07101223069081386,1.1304024140503506,0.02837627019976131,1510.465706447188,7.266761719601684,1486.0459218642907,7.254488019866098
BsmtUnfSF,log1p in-place,0.9209029282647685,-2.184367373791437,0.9199232287642486,-2.129069287587148,567.09670781893,5.647260884472279,553.9150102810144,5.6020431544757265
GarageFinish_Ord_x_GarageArea,log1p in-place,0.916254877011135,-2.8518201417457774,0.9816289585196858,-2.842199251976345,906.5432098765432,6.270246301393845,910.2933516106923,6.27354769285723
1stFlrSF,log1p in-place,0.887636603215269,0.006983649145683015,1.558194572983426,0.0534988253222509,1158.8511659807957,7.0067456480378425,1156.534612748458,6.9999168729746994
LivingPlusBasementSF,log1p in-place,0.8170807751121343,-0.4651572752940693,1.202778451285597,-0.37670870495664566,2563.002743484225,7.8033559757650846,2531.446881425634,7.7896148189994205
2ndFlrSF,log1p in-place,0.8129574992560771,0.29278371306638834,0.9128826344911904,0.3210095920734259,345.76200274348423,2.8587785285236893,325.96778615490064,2.794558794588557
TotalSF,log1p in-place,0.8043214250474244,-0.47043415439617786,1.208013894562309,-0.3898824356210622,2557.150205761317,7.801013168788897,2527.903358464702,7.788051395930789
BsmtFinSF1,log1p in-place,0.7647894513451676,-0.6180960733532069,1.1663296764605604,-0.6161480058960408,438.82716049382714,4.224310770537642,438.90267306374227,4.220176414687003
OverallQual_x_TotalBath,log1p in-place,0.6891520758293854,-0.3761594329552051,0.8884490829644323,-0.30693762985337875,14.0281207133059,2.5926686696129666,14.192597669636738,2.592948614406268
TotalBsmtSF,log1p in-place,0.5117033418828824,-5.172315186416781,0.8050662652894462,-4.785887775970973,1052.537037037037,6.748318181915623,1045.4009595613434,6.711093538909668
GarageQual_Ord_x_GarageArea,log1p in-place,0.24978940780337222,-3.53861304581131,0.3867137250915777,-3.5759860047870946,1412.738683127572,6.830848237853401,1403.0253598355039,6.830771254214568
TotalBath,log1p in-place,0.24668739850732258,-0.30799367055498145,0.6808144676152361,-0.1228012352395974,2.2074759945130316,1.1347005076566716,2.2261823166552435,1.138314545739778
GarageArea,log1p in-place,0.13174798037584048,-3.482852590046287,0.29629030596790457,-3.5460862201224694,472.0500685871056,5.806491247619626,472.4448252227553,5.817016751634079
